from,to,n
48,137,1
48,143,13
48,145,1
49,60,2
49,64,1
49,74,3
49,75,81
49,84,2
49,87,51
49,92,9
49,105,3
49,107,3
49,110,1
49,111,1
49,116,2
49,121,6
49,123,38
49,125,2
49,129,9
49,131,74
49,135,29
49,138,13
49,140,1
49,141,1
49,143,1
50,51,1
50,67,8
50,70,1
50,71,2
50,75,7
50,96,9
50,100,68
50,104,3
50,111,17
50,118,1
50,121,3
50,136,1
51,67,13
51,70,3
51,71,2
51,77,4
51,80,1
51,91,2
51,95,1
51,96,46
51,100,84
51,104,6
51,107,11
51,110,14
51,117,2
51,121,3
51,134,1
51,136,3
51,140,22
51,143,7
52,54,2
52,70,2
52,72,1
52,73,2
52,76,1
52,81,1
52,84,44
52,93,184
52,98,4
52,100,2
52,102,2
52,110,16
52,113,395
52,114,3
52,115,939
52,117,129
52,127,25
52,132,22
52,133,718
52,136,61
52,139,1
53,58,1
53,65,2
53,73,4
53,80,1
53,86,3
53,99,4
53,121,2
53,136,3
54,55,12
54,73,1
54,80,1
54,83,4
54,84,4
54,88,1
54,91,1
54,96,1
54,110,2
54,115,2
54,116,4
54,119,3
54,121,6
54,127,1
54,130,4
54,132,1
54,133,18
55,60,30
55,63,3
55,71,4
55,73,1
55,80,2
55,83,16
55,84,26
55,97,4
55,100,4
55,109,3
55,110,2
55,115,4
55,116,29
55,121,9
55,122,5
55,125,2
55,130,1
55,133,6
55,138,1
56,57,1
56,60,3
56,71,1
56,75,3
56,80,4
56,84,2
56,121,2
56,122,7
56,125,7
56,141,15
57,80,1
57,100,1
57,121,2
57,141,5
58,73,1
58,80,1
58,106,2
58,121,2
58,136,5
58,146,1
59,65,5
59,78,3
59,106,7
59,121,2
59,136,5
60,61,41
60,64,3
60,71,2
60,73,5
60,75,97
60,79,13
60,80,16
60,83,22
60,84,27
60,88,1
60,100,5
60,101,67
60,109,6
60,110,3
60,121,2
60,122,5
60,123,4
60,125,12
60,138,36
60,141,4
61,62,1
61,64,3
61,70,1
61,79,25
61,92,1
61,101,17
61,109,3
61,121,2
61,122,1
61,125,1
61,145,6
62,64,1
62,67,2
62,111,8
62,125,7
63,64,3
63,71,2
63,73,2
63,80,12
63,84,23
63,88,1
63,99,1
63,100,2
63,138,6
64,67,5
64,70,1
64,80,7
64,84,2
64,92,1
64,101,2
64,109,3
64,110,1
64,111,11
64,118,1
64,122,5
64,125,27
64,145,10
64,146,1
65,71,2
65,73,1
65,80,1
65,86,4
65,121,2
65,136,16
66,67,1
66,80,1
66,111,8
66,125,13
66,141,1
67,70,8
67,71,2
67,74,1
67,75,10
67,77,7
67,91,5
67,94,1
67,95,17
67,96,16
67,100,27
67,104,1
67,107,1
67,109,1
67,110,8
67,111,168
67,117,1
67,118,4
67,121,10
67,122,1
67,125,6
67,128,6
67,134,9
67,137,3
67,143,9
67,145,1
68,75,2
68,82,4
68,86,3
68,89,10
68,94,16
68,102,14
68,103,1
68,112,17
68,117,15
68,120,7
68,126,19
68,128,2
69,73,1
69,87,1
69,88,5
69,97,2
69,113,15
69,123,13
69,129,6
69,131,18
69,135,5
69,138,2
70,80,1
70,84,1
70,93,13
70,95,4
70,96,2
70,100,84
70,102,2
70,104,4
70,110,59
70,121,2
70,136,2
70,143,2
71,72,1
71,73,2
71,77,2
71,80,1
71,83,8
71,84,7
71,88,2
71,91,2
71,95,2
71,96,2
71,97,1
71,100,4
71,102,2
71,103,2
71,104,2
71,110,8
71,111,2
71,115,6
71,116,4
71,118,2
71,119,3
71,121,6
71,125,4
71,128,4
71,130,8
71,133,48
71,136,2
71,137,1
71,141,2
71,142,1
71,145,2
72,76,42
72,78,15
72,81,32
72,85,4
72,90,1
72,98,73
72,119,2
72,127,3
72,130,1
72,132,11
72,136,47
72,139,11
72,144,3
73,80,19
73,83,3
73,84,94
73,86,6
73,93,3
73,99,8
73,102,4
73,113,5
73,115,6
73,121,2
73,123,2
73,128,20
73,130,1
73,131,19
73,133,1
73,136,3
73,138,4
73,146,13
74,80,1
74,92,6
74,105,1
74,111,1
74,142,2
75,77,4
75,86,2
75,87,3
75,91,2
75,93,6
75,100,17
75,101,4
75,104,2
75,107,10
75,110,2
75,112,1
75,123,36
75,129,22
75,131,1
75,134,1
75,135,1
75,143,2
76,78,1
76,81,83
76,85,24
76,90,101
76,98,160
76,108,66
76,119,7
76,127,13
76,130,2
76,132,129
76,139,17
76,144,20
77,80,1
77,96,7
77,100,76
77,104,3
77,110,11
77,121,6
77,125,1
77,134,3
77,136,2
77,140,1
77,143,13
78,90,3
78,106,7
78,121,2
78,136,5
78,139,1
79,80,1
79,84,1
79,100,2
79,101,7
79,104,2
79,109,4
79,110,1
79,121,4
79,123,1
79,125,4
79,136,8
80,84,10
80,86,1
80,92,1
80,93,1
80,94,1
80,96,1
80,99,1
80,100,3
80,101,1
80,102,4
80,104,1
80,105,1
80,109,1
80,110,9
80,115,2
80,116,2
80,117,1
80,121,1
80,122,1
80,124,1
80,125,7
80,126,1
80,128,6
80,130,1
80,133,1
80,134,1
80,137,1
80,141,7
80,142,1
80,143,1
80,145,1
80,146,1
81,85,20
81,90,8
81,98,82
81,108,8
81,119,4
81,127,8
81,130,2
81,132,25
81,136,35
81,139,11
81,144,18
82,103,1
83,84,32
83,88,1
83,97,1
83,115,1
83,116,5
83,119,2
83,121,7
83,125,4
83,128,1
83,130,17
83,133,9
83,138,1
84,87,3
84,88,102
84,91,2
84,92,1
84,94,2
84,97,13
84,100,27
84,102,9
84,105,2
84,109,4
84,110,24
84,113,7
84,115,18
84,116,27
84,117,2
84,121,107
84,122,3
84,123,1
84,125,30
84,127,1
84,128,12
84,133,15
84,138,67
84,141,24
84,146,1
85,90,4
85,98,11
85,108,4
85,119,1
85,127,144
85,130,1
85,132,6
85,136,4
85,139,4
85,144,2
86,89,3
86,93,8
86,99,1
86,103,1
86,112,2
86,117,5
86,120,1
86,121,2
86,128,1
86,136,16
87,88,22
87,113,2
87,116,1
87,123,202
87,129,1
87,131,61
87,135,60
87,138,481
88,97,10
88,109,2
88,110,1
88,113,14
88,121,1
88,123,288
88,127,1
88,129,22
88,131,85
88,135,56
88,138,434
88,143,1
89,103,2
89,120,7
90,98,42
90,108,12
90,119,4
90,132,10
90,139,6
90,144,3
91,100,5
91,107,62
91,110,2
91,134,1
91,136,2
91,140,25
92,96,8
92,100,14
92,107,1
92,109,1
92,111,4
92,121,2
92,125,6
92,134,2
92,143,14
93,94,6
93,100,13
93,102,11
93,110,17
93,112,1
93,113,93
93,115,39
93,116,14
93,117,55
93,126,7
93,127,7
93,133,35
94,96,1
94,100,6
94,102,5
94,104,5
94,117,1
94,126,2
94,136,4
95,96,6
95,100,68
95,104,6
95,110,24
95,136,7
95,143,3
96,100,101
96,104,5
96,107,27
96,110,28
96,111,40
96,117,2
96,134,8
96,136,29
96,143,26
97,113,29
97,121,3
97,123,1
97,133,7
98,108,30
98,119,6
98,127,8
98,130,1
98,132,84
98,136,51
98,139,5
98,144,4
99,121,2
99,136,16
99,146,1
100,102,7
100,104,95
100,109,2
100,110,134
100,111,17
100,113,1
100,117,10
100,121,2
100,125,17
100,133,1
100,134,71
100,136,69
100,141,6
100,143,87
100,145,1
101,121,2
101,122,3
101,123,1
101,125,5
101,136,1
101,138,1
102,113,1
102,126,2
102,138,8
104,107,1
104,109,2
104,110,8
104,111,5
104,117,3
104,118,1
104,121,1
104,125,2
104,134,3
104,136,97
104,143,7
105,121,2
105,122,2
105,131,1
106,121,2
106,136,5
106,146,1
107,110,3
107,134,1
107,136,3
107,140,33
108,132,7
109,111,8
109,121,2
109,122,3
109,124,1
109,125,14
109,143,1
110,111,2
110,113,3
110,115,1
110,117,4
110,121,3
110,125,21
110,130,2
110,133,7
110,134,7
110,136,6
110,141,3
110,143,11
111,118,11
111,121,6
111,122,8
111,125,8
111,137,8
111,143,3
111,145,8
112,117,1
113,115,13
113,116,3
113,123,10
113,129,1
113,133,26
113,138,2
113,142,1
115,127,9
115,133,211
115,136,1
116,121,13
116,127,1
116,128,1
116,130,2
116,133,9
117,126,2
117,133,2
118,121,2
118,128,1
118,136,7
119,121,4
119,127,29
119,130,46
119,132,10
119,133,2
119,138,2
119,144,217
120,147,9
120,148,6
121,122,2
121,124,2
121,125,6
121,128,30
121,130,2
121,133,6
121,136,1
121,140,1
121,141,4
121,142,2
121,146,2
122,125,29
122,141,4
122,142,1
122,145,2
123,125,2
123,129,5
123,131,323
123,135,295
123,138,362
124,125,10
125,128,2
125,130,1
125,133,1
125,141,14
125,145,1
126,131,15
127,130,36
127,132,18
127,133,31
127,136,39
127,139,25
127,144,6
128,131,4
128,146,1
129,138,285
130,132,6
130,133,11
130,144,6
131,135,148
131,138,205
132,136,58
132,139,9
132,144,52
133,138,1
134,136,2
134,143,1
135,138,216
136,140,12
136,143,6
136,146,3
139,144,5
